"Pays","Articles","Elements","1961",flag,"1962",flag,"1963",flag,"1964",flag,"1965",flag,"1966",flag,"1967",flag,"1968",flag,"1969",flag,"1970",flag,"1971",flag,"1972",flag,"1973",flag,"1974",flag,"1975",flag,"1976",flag,"1977",flag,"1978",flag,"1979",flag,"1980",flag,"1981",flag,"1982",flag,"1983",flag,"1984",flag,"1985",flag,"1986",flag,"1987",flag,"1988",flag,"1989",flag,"1990",flag,"1991",flag,"1992",flag,"1993",flag,"1994",flag,"1995",flag,"1996",flag,"1997",flag,"1998",flag,"1999",flag,"2000",flag,"2001",flag,"2002",flag,"2003",flag,"2004",flag,"2005",flag,"2006",flag,"2007",flag,"2008",flag,"2009",flag,"2010",flag,"2011",flag,"2012",flag,
"Sénégal","Viande indigène suidés","Rendement/Poids Carcasse (Hg/An)","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","300","Fc","373","Fc","459","Fc","443","Fc","512","Fc","436","Fc","442","Fc","434","Fc","445","Fc","430","Fc","407","Fc","409","Fc","412","Fc","412","Fc","412","Fc",
"Sénégal","Viande indigène suidés","Production (tonnes)","697.5","Fc","832.5","Fc","990","Fc","990","Fc","1192.5","Fc","1912.5","Fc","1957.5","Fc","2024.94","Fc","3569.91","Fc","3779.82","Fc","3928.98","Fc","4109.55","Fc","4260.03","Fc","4411.11","Fc","3606.27","Fc","3730.8","Fc","3817.2","Fc","3904.2","Fc","3933.33","Fc","4052.46","Fc","4142.1","Fc","4207.8","Fc","4264.29","Fc","4290","Fc","3690","Fc","4083","Fc","4501.35","Fc","2295.24","Fc","2595.03","Fc","2625.42","Fc","3159","Fc","3720","Fc","3690","Fc","3870","Fc","3915","Fc","4110","Fc","4590","Fc","5130","Fc","6702.51","Fc","9260.33","Fc","9303","Fc","11191.7","Fc","9920.13","Fc","9288.98","Fc","9775.46","Fc","10324","Fc","10112.9","Fc","9618.51","Fc","9890.36","Fc","10635.5","Fc","11099.3","Fc","12112.8","Fc",
"Sénégal","Viande volaille","Animaux Producteurs/Abbatus (1000 têtes)","1360","F","2785","F","2700","F","2990","F","2885","F","3840","F","4040","F","4260","F","4585","F","4750","F","5060","F","5465","F","5800","F","6155","F","6450","F","7030","F","8780","F","8020","F","8475","F","9070","F","9530","F","10320","F","9450","F","10145","F","10810","F","13485","F","12275","F","13325","F","12250","F","12700","F","17275","F","16030","F","15015","F","15560","F","17460","F","16250","F","19000","F","20000","F","20937"," ","22352"," ","23398"," ","23102"," ","24355"," ","24778"," ","26801"," ","28728"," ","32438"," ","34776"," ","33989"," ","38169"," ","41700"," ","42380","F",
"Sénégal","Viande volaille","Rendement/Poids Carcasse (0.1Gr/An)","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10000","Fc","10320.5","Fc","10396.8","Fc","10444.1","Fc","10324.6","Fc","10297.7","Fc","10485.1","Fc","10836.2","Fc","11016.1","Fc","11416.2","Fc","11809.3","Fc","11591.7","Fc","11907.8","Fc","13376","Fc","13375.2","Fc",
"Sénégal","Viande volaille","Production (tonnes)","1360","Fc","2785","Fc","2700","Fc","2990","Fc","2885","Fc","3840","Fc","4040","Fc","4260","Fc","4585","Fc","4750","Fc","5060","Fc","5465","Fc","5800","Fc","6155","Fc","6450","Fc","7030","Fc","8780","Fc","8020","Fc","8475","Fc","9070","Fc","9530","Fc","10320","Fc","9450","Fc","10145","Fc","10810","Fc","13485","Fc","12275","Fc","13325","Fc","12250","Fc","12700","Fc","17275","Fc","16030","Fc","15015","Fc","15560","Fc","17460","Fc","16250","Fc","19000","Fc","20000","Fc","21608"," ","23239"," ","24437"," ","23852"," ","25080"," ","25980"," ","29042"," ","31647"," ","37032"," ","41068"," ","39399"," ","45451"," ","55778"," ","56684"," ",
"Sénégal","Œufs de poule en coquille","Pondeuses (1000 têtes)","1340","F","1752","F","1760","F","1732","F","1900","F","2292","F","2320"," ","2280"," ","2240"," ","2200"," ","2120"," ","2240"," ","2200"," ","2320"," ","2480"," ","2628"," ","2720"," ","2860"," ","3000"," ","3160"," ","3370"," ","3520"," ","3880"," ","4000"," ","4000","F","3500","F","3500","F","4000","F","4000","F","3600","F","3500","F","3200","F","3100","F","3100","F","3000","F","2800","F","2800","F","2700","F","2700","F","3500","F","4100","F","4200","F","4600","F","4860","F","5440","F","6130","F","5800","F","8500","F","7000","F","7500","F","7800","F","7200","F",
"Sénégal","Œufs de poule en coquille","Rendement (100Mg/An)","17500","Fc","17500","Fc","17500","Fc","18187.1","Fc","17500","Fc","17504.4","Fc","17000","Fc","18000","Fc","18000","Fc","18000","Fc","18000","Fc","18000","Fc","19000","Fc","19000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","21000","Fc","24714.3","Fc","26571.4","Fc","26625","Fc","28250","Fc","30555.6","Fc","31571.4","Fc","32968.8","Fc","33871","Fc","36451.6","Fc","38333.3","Fc","39285.7","Fc","41221.4","Fc","41459.3","Fc","41029.6","Fc","29828.6","Fc","35931.7","Fc","40461.9","Fc","38582.6","Fc","40576.1","Fc","37209.6","Fc","35102.8","Fc","41800","Fc","43056.5","Fc","38031.4","Fc","36501.3","Fc","37105.1","Fc","38033.3","Fc",
"Sénégal","Œufs de poule en coquille","Production (tonnes)","2345","F","3066","F","3080","F","3150","F","3325","F","4012","*","3944"," ","4104"," ","4032"," ","3960"," ","3816"," ","4032"," ","4180"," ","4408"," ","4960"," ","5256"," ","5440"," ","5720"," ","6000"," ","6320"," ","6740"," ","7040"," ","7760"," ","8000"," ","8400"," ","8650","F","9300","F","10650","F","11300","F","11000","F","11050","F","10550","F","10500","F","11300","F","11500","F","11000","F","11542"," ","11194"," ","11078"," ","10440"," ","14732"," ","16994"," ","17748"," ","19720"," ","20242"," ","21518"," ","24244"," ","36598"," ","26622"," ","27376"," ","28942"," ","27384"," ",
"Sénégal","Œufs de poule en coquille (nombre)","Production (1000 No)","87000","F","87600","F","88000","F","90000","F","95000","*","114600","*","112700","F","117000","F","115000","F","110000","F","103000","F","106000","F","107000","F","110000","F","121000","F","123500","F","126500","F","130000","F","136000","F","144000","F","153000","F","160000","F","176000","F","182000","F","187000","F","173000","F","186000","F","213000","F","226000","F","220000","F","221000","F","211000","F","210000","F","226000","F","230000","F","220000","F","270000","F","270000","F","274000","F","352000","F","410000","F","420000","F","460000","F","486000","F","544000","F","560000","F","555000","F","552933"," ","533867"," ","591483"," ","560000","F","547000"," ",
"Sénégal","Viande indigène poulet","Production (1000 têtes)","1330","F","2754","F","2658","F","2945","F","2850","F","3795","F","3997.89","F","4180","F","4465","F","4600","F","4890","F","5205","F","5540","F","5890","F","6150","F","6460","F","7990","F","7120","F","7504","F","8003","F","8368","F","9120","F","8250","F","8895","F","9310","F","11685","F","9975","F","11308","F","12157","F","12349","F","13910","F","14740","F","14539","F","14981","F","16360","F","15088","F","17616","F","19368","F","20435"," ","22123"," ","23106"," ","22990"," ","24295"," ","24559"," ","26754"," ","28624"," ","32071"," ","34727"," ","33940"," ","38142"," ","41664"," ","42344","F",
